SMILES,InChI,Count
c1ccc2c(c1)CCCC2,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,11559
c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N,11384
O=c1cc[nH]cn1,DNCYBUMDUBHIJZ-UHFFFAOYSA-N,11337
c1ccc2nccnc2c1,XSCHRSMBECNVNS-UHFFFAOYSA-N,10997
C1=CCCCC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,9831
O=C1NCc2ccccc21,PXZQEOJJUGGUIB-UHFFFAOYSA-N,9658
c1ccc2c(c1)CCCO2,VZWXIQHBIQLMPN-UHFFFAOYSA-N,9060
C1CCCNCC1,ZSIQJIWKELUFRJ-UHFFFAOYSA-N,9056
O=c1cccn[nH]1,AAILEWXSEQLMNI-UHFFFAOYSA-N,8884
C1=NNCC1,MCGBIXXDQFWVDW-UHFFFAOYSA-N,8640
C1=CCNCC1,FTAHXMZRJCZXDL-UHFFFAOYSA-N,8045
O=C1NCCO1,IZXIZTKNFFYFOF-UHFFFAOYSA-N,7948
O=c1ccc2ccccc2[nH]1,LISFMEBWQUVKPJ-UHFFFAOYSA-N,7903
O=C1CNC(=O)N1,WJRBRSLFGCUECM-UHFFFAOYSA-N,7780
c1cnc2[nH]ncc2c1,GVLRTOYGRNLSDW-UHFFFAOYSA-N,7663
C1CNCCNC1,FQUYSHZXSKYCSY-UHFFFAOYSA-N,7536
c1ccc2c(c1)CCCN2,LBUJPTNKIBCYBY-UHFFFAOYSA-N,7316
c1cnc2[nH]cnc2c1,GAMYYCRTACQSBR-UHFFFAOYSA-N,7095
c1ccc2c(c1)CCO2,HBEDSQVIWPRPAY-UHFFFAOYSA-N,6918
O=C1CCCC(=O)N1,KNCYXPMJDCCGSJ-UHFFFAOYSA-N,6825
C1COC1,AHHWIHXENZJRFG-UHFFFAOYSA-N,6811
C1CC2CCC(C1)N2,DGGKXQQCVPAUEA-UHFFFAOYSA-N,6810
O=C1CNCCN1,IWELDVXSEVIIGI-UHFFFAOYSA-N,6685
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,LRFVTYWOQMYALW-UHFFFAOYSA-N,6643
C1=NCCN1,MTNDZQHUAFNZQY-UHFFFAOYSA-N,6224
C1CCC2C(C1)CCC1C3CCCC3CCC21,UACIBCPNAKBWHX-UHFFFAOYSA-N,6142
O=c1nccc[nH]1,VTGOHKSTWXHQJK-UHFFFAOYSA-N,6139
c1ccn2ncnc2c1,DACWQSNZECJJGG-UHFFFAOYSA-N,6133
c1cnn2ccnc2c1,VTVRXITWWZGKHV-UHFFFAOYSA-N,5771
c1cc2cncnn2c1,KGRPHHFLPMPUBB-UHFFFAOYSA-N,5710
O=C1CCCCN1,XUWHAWMETYGRKB-UHFFFAOYSA-N,5692
c1ncc2ccsc2n1,DDWBRNXDKNIQDY-UHFFFAOYSA-N,5677
c1ccc2c(c1)CNC2,GWVMLCQWXVFZCN-UHFFFAOYSA-N,5371
c1ccc2c(c1)[nH]c1ccccc12,UJOBWOGCFQCDNV-UHFFFAOYSA-N,4958
O=c1[nH]ncc2ccccc12,IJAPPYDYQCXOEF-UHFFFAOYSA-N,4920
O=C1Cc2ccccc2N1,JYGFTBXVXVMTGB-UHFFFAOYSA-N,4910
c1ccc2nc3ccccc3cc2c1,DZBUGLKDJFMEHC-UHFFFAOYSA-N,4898
c1ccn2nccc2c1,DVUBDHRTVYLIPA-UHFFFAOYSA-N,4846
O=C1CCC(=O)N1,KZNICNPSHKQLFF-UHFFFAOYSA-N,4836
c1ccc2[nH]nnc2c1,QRUDEWIWKLJBPS-UHFFFAOYSA-N,4814
O=c1[nH]cnc2[nH]cnc12,FDGQSTZJBFJUBT-UHFFFAOYSA-N,4767
c1cnc2ncnn2c1,SRNKZYRMFBGSGE-UHFFFAOYSA-N,4570
O=c1[nH]c2ccccc2[nH]1,SILNNFMWIMZVEQ-UHFFFAOYSA-N,4534
C=C1C(=O)Nc2ccccc21,IGXUUWYVUGBMFT-UHFFFAOYSA-N,4533
O=C1COc2ccccc2N1,QRCGFTXRXYMJOS-UHFFFAOYSA-N,4520
c1ccc2c(c1)NCCO2,YRLORWPBJZEGBX-UHFFFAOYSA-N,4457
c1ncc2sccc2n1,RBNBDIMXFJYDLQ-UHFFFAOYSA-N,4409
O=C1NCCN1,YAMHXTCMCPHKLN-UHFFFAOYSA-N,4393
c1cn2ccnc2cn1,MBVAHHOKMIRXLP-UHFFFAOYSA-N,4367
O=S1(=O)CCCC1,HXJUTPCZVOIRIF-UHFFFAOYSA-N,4338
O=C1C=CCO1,VIHAEDVKXSOUAT-UHFFFAOYSA-N,4240
O=C1C=CC(=O)c2ccccc21,FRASJONUBLZVQX-UHFFFAOYSA-N,4197
O=c1[nH]c(=O)c2ccccc2[nH]1,SDQJTWBNWQABLE-UHFFFAOYSA-N,4076
O=c1[nH]cn[nH]1,LZTSCEYDCZBRCJ-UHFFFAOYSA-N,3971
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,YRPBJZVSDMZVKO-UHFFFAOYSA-N,3910
C=C1SC(=S)NC1=O,ALDXAQBFSDSZJR-UHFFFAOYSA-N,3865
c1cc2[nH]cnc2cn1,UBOOKRVGOBKDMM-UHFFFAOYSA-N,3838
C1CCCCCC1,DMEGYFMYUHOHGS-UHFFFAOYSA-N,3795
O=C1CCN1,MNFORVFSTILPAW-UHFFFAOYSA-N,3758
O=c1cc[nH][nH]1,XBYRMPXUBGMOJC-UHFFFAOYSA-N,3756
c1ccc2c(c1)[nH]c1cnccc12,AIFRHYZBTHREPW-UHFFFAOYSA-N,3739
O=c1[nH]ccc2ccccc12,VDBNYAPERZTOOF-UHFFFAOYSA-N,3696
c1ccn2cnnc2c1,AYSYSOQSKKDJJY-UHFFFAOYSA-N,3604
C1CC2CCC1C2,UMRZSTCPUPJPOJ-UHFFFAOYSA-N,3581
C1=NOCC1,WEQPBCSPRXFQQS-UHFFFAOYSA-N,3555
C=C1SC(=O)NC1=O,GXITUSCERRRNDI-UHFFFAOYSA-N,3501
c1cnon1,JKFAIQOWCVVSKC-UHFFFAOYSA-N,3495
c1cc2n[nH]cc2cn1,WCXFPLXZZSWROM-UHFFFAOYSA-N,3437
O=C1C=CCN1,CDCHBOQVXIGZHA-UHFFFAOYSA-N,3433
c1ccc2c3c([nH]c2c1)CNCC3,CFTOTSJVQRFXOF-UHFFFAOYSA-N,3424
c1n[nH]c2c1CNCC2,VGMJQHONPAXABH-UHFFFAOYSA-N,3422
c1cnc2cc[nH]c2c1,XWIYUCRMWCHYJR-UHFFFAOYSA-N,3394
C1NCC2CC12,HGWUUOXXAIISDB-UHFFFAOYSA-N,3357
O=C1CCCO1,YEJRWHAVMIAJKC-UHFFFAOYSA-N,3303
C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,3223
C1CN2CCC1CC2,SBYHFKPVCBCYGV-UHFFFAOYSA-N,3218
O=c1[nH]c2ccccc2o1,ASSKVPFEZFQQNQ-UHFFFAOYSA-N,3150
